experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,min_temp_overall_c,cooling_rate_c_per_min,notes
EJ09B1,TC1,False,64.2,-6.7,65.916667,-4.8,90.683333,-7.4,-18.8,-0.5432995719178446,
EJ09B1,TC2,False,61.45,-5.8,64.0,-4.4,90.583333,-7.4,-18.8,-0.5407889683835565,
