experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,notes
EJ42B1,TC8,False,932.316667,-18.3,933.9,-11.0,942.583333,-12.5,
EJ42B1,TC9,False,267.916667,-18.8,269.666667,-12.4,278.433333,-13.3,
EJ42B1,TC10,True,,,,,,,no clear cooling event
EJ42B1,TC11,True,,,,,,,no clear cooling event
EJ42B1,TC12,False,364.75,-18.6,366.25,-13.3,375.1,-14.0,
EJ42B1,TC13,False,368.516667,-18.7,369.85,-11.7,378.7,-13.3,
EJ42B1,TC14,False,540.5,-18.6,542.166667,-10.4,550.683333,-11.6,
EJ42B1,TC15,True,,,,,,,no clear cooling event
EJ42B1,TC16,True,,,,,,,no clear cooling event
EJ43B1,TC1,False,2019.933333,-18.5,2022.183333,-11.2,2030.45,-12.1,
EJ43B1,TC2,False,134.75,-16.9,136.666667,-11.5,147.116667,-12.3,
EJ43B1,TC3,False,4060.916667,-18.2,4062.766667,-13.4,4072.1,-14.3,
EJ43B1,TC4,True,,,,,,,no clear cooling event
EJ43B1,TC5,True,,,,,,,no clear cooling event
EJ43B1,TC6,False,250.966667,-18.7,252.483333,-13.0,262.083333,-13.9,
EJ43B1,TC7,True,,,,,,,no clear cooling event
EJ43B1,TC8,True,,,,,,,no clear cooling event
EJ43B1,TC9,True,,,,,,,no clear cooling event
EJ43B1,TC10,False,2858.75,-18.6,2861.166667,-10.6,2868.933333,-11.3,
EJ43B1,TC11,False,188.1,-18.4,190.35,-10.9,198.95,-11.9,
EJ43B1,TC12,False,591.35,-18.9,593.6,-12.9,602.2,-13.5,
EJ43B1,TC13,True,,,,,,,no clear cooling event
EJ43B1,TC14,False,2963.033333,-18.3,2965.116667,-9.9,2973.633333,-11.5,
EJ43B1,TC15,False,2945.166667,-18.2,2946.916667,-11.7,2955.433333,-12.8,
EJ43B1,TC16,False,475.55,-18.5,476.883333,-13.8,486.75,-14.0,
EJ44B1,TC1,True,,,,,,,no clear cooling event
EJ44B1,TC2,False,119.966667,-15.9,122.55,-11.9,133.4,-12.6,
EJ44B1,TC3,False,705.116667,-18.5,707.783333,-15.4,716.55,-15.5,
EJ44B1,TC4,True,,,,,,,no clear cooling event
EJ44B1,TC5,False,1105.0,-18.6,1107.166667,-11.9,1115.516667,-12.6,
EJ44B1,TC6,False,551.166667,-18.4,553.75,-13.7,562.183333,-14.3,
EJ44B1,TC7,True,,,,,,,no clear cooling event
EJ44B1,TC8,True,,,,,,,no clear cooling event
EJ44B1,TC9,True,,,,,,,no clear cooling event
